study_id,experiment,id,participant,age_in_years,sex,species,condition,number_trials,order,lop,num_levels,changes_direction,repetition,t1_planning,t1_success,test_value,diff_num_trials
volter2014cognitive,3,19,alexandra,12,f,chimpanzee,opaquecued,4,1,2,1,1,2.0,1,0,4.0,0.0
volter2014cognitive,3,11,alexandra,12,f,chimpanzee,opaquecued,3,2,1,1,1,2.0,1,0,4.0,-1.0
volter2014cognitive,3,23,alexandra,12,f,chimpanzee,opaquecued,1,3,2,2,0,2.0,1,1,4.0,-3.0
volter2014cognitive,3,3,alexandra,12,f,chimpanzee,opaquecued,9,4,0,2,1,2.0,0,0,4.0,5.0
volter2014cognitive,3,17,alexandra,12,f,chimpanzee,opaquecued,17,5,2,1,0,2.0,0,0,4.0,13.0
volter2014cognitive,3,5,alexandra,12,f,chimpanzee,opaquecued,1,6,0,2,1,2.0,1,1,4.0,-3.0
volter2014cognitive,3,15,alexandra,12,f,chimpanzee,opaquecued,1,7,1,2,0,2.0,1,1,4.0,-3.0
volter2014cognitive,3,1,alexandra,12,f,chimpanzee,opaquecued,2,8,0,2,0,2.0,1,0,4.0,-2.0
volter2014cognitive,3,22,alexandra,12,f,chimpanzee,opaquecued,17,9,2,2,0,2.0,0,0,4.0,13.0
volter2014cognitive,3,9,alexandra,12,f,chimpanzee,opaquecued,6,10,1,1,0,2.0,0,0,4.0,2.0
volter2014cognitive,3,24,alexandra,12,f,chimpanzee,opaquecued,1,11,2,2,1,2.0,1,1,4.0,-3.0
volter2014cognitive,3,18,alexandra,12,f,chimpanzee,opaquecued,3,12,2,1,1,2.0,0,0,4.0,-1.0
volter2014cognitive,3,2,alexandra,12,f,chimpanzee,opaquecued,2,13,0,2,1,2.0,1,0,4.0,-2.0
volter2014cognitive,3,14,alexandra,12,f,chimpanzee,opaquecued,17,14,1,2,0,2.0,0,0,4.0,13.0
volter2014cognitive,3,13,alexandra,12,f,chimpanzee,opaquecued,10,15,1,2,1,2.0,0,0,4.0,6.0
volter2014cognitive,3,7,alexandra,12,f,chimpanzee,opaquecued,3,16,0,2,1,2.0,0,0,4.0,-1.0
volter2014cognitive,3,20,alexandra,12,f,chimpanzee,opaquecued,2,17,2,1,0,2.0,1,0,4.0,-2.0
volter2014cognitive,3,8,alexandra,12,f,chimpanzee,opaquecued,17,18,0,2,0,2.0,1,0,4.0,13.0
volter2014cognitive,3,10,alexandra,12,f,chimpanzee,opaquecued,17,19,1,1,1,2.0,0,0,4.0,13.0
volter2014cognitive,3,16,alexandra,12,f,chimpanzee,opaquecued,1,20,1,2,1,2.0,1,1,4.0,-3.0
volter2014cognitive,3,21,alexandra,12,f,chimpanzee,opaquecued,17,21,2,2,1,2.0,0,0,4.0,13.0
volter2014cognitive,3,6,alexandra,12,f,chimpanzee,opaquecued,1,22,0,2,0,2.0,1,1,4.0,-3.0
volter2014cognitive,3,4,alexandra,12,f,chimpanzee,opaquecued,17,23,0,2,0,2.0,0,0,4.0,13.0
volter2014cognitive,3,12,alexandra,12,f,chimpanzee,opaquecued,3,24,1,1,0,2.0,1,0,4.0,-1.0
volter2014cognitive,3,10,dokana,22,f,orangutan,opaquecued,17,1,1,1,1,1.0,0,0,4.0,13.0
volter2014cognitive,3,13,dokana,22,f,orangutan,opaquecued,14,2,1,2,1,1.0,0,0,4.0,10.0
volter2014cognitive,3,24,dokana,22,f,orangutan,opaquecued,1,3,2,2,1,1.0,1,1,4.0,-3.0
volter2014cognitive,3,12,dokana,22,f,orangutan,opaquecued,17,4,1,1,0,1.0,0,0,4.0,13.0
volter2014cognitive,3,20,dokana,22,f,orangutan,opaquecued,12,5,2,1,0,1.0,1,0,4.0,8.0
volter2014cognitive,3,5,dokana,22,f,orangutan,opaquecued,1,6,0,2,1,1.0,1,1,4.0,-3.0
volter2014cognitive,3,8,dokana,22,f,orangutan,opaquecued,14,7,0,2,0,1.0,0,0,4.0,10.0
volter2014cognitive,3,11,dokana,22,f,orangutan,opaquecued,8,8,1,1,1,1.0,1,0,4.0,4.0
volter2014cognitive,3,7,dokana,22,f,orangutan,opaquecued,2,9,0,2,1,1.0,0,0,4.0,-2.0
volter2014cognitive,3,21,dokana,22,f,orangutan,opaquecued,12,10,2,2,1,1.0,0,0,4.0,8.0
volter2014cognitive,3,1,dokana,22,f,orangutan,opaquecued,6,11,0,2,0,1.0,1,0,4.0,2.0
volter2014cognitive,3,6,dokana,22,f,orangutan,opaquecued,1,12,0,2,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,17,dokana,22,f,orangutan,opaquecued,1,13,2,1,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,9,dokana,22,f,orangutan,opaquecued,3,14,1,1,0,1.0,0,0,4.0,-1.0
volter2014cognitive,3,15,dokana,22,f,orangutan,opaquecued,9,15,1,2,0,1.0,0,0,4.0,5.0
volter2014cognitive,3,22,dokana,22,f,orangutan,opaquecued,5,16,2,2,0,1.0,0,0,4.0,1.0
volter2014cognitive,3,16,dokana,22,f,orangutan,opaquecued,1,17,1,2,1,1.0,1,1,4.0,-3.0
volter2014cognitive,3,14,dokana,22,f,orangutan,opaquecued,2,18,1,2,0,1.0,0,0,4.0,-2.0
volter2014cognitive,3,19,dokana,22,f,orangutan,opaquecued,7,19,2,1,1,1.0,1,0,4.0,3.0
volter2014cognitive,3,3,dokana,22,f,orangutan,opaquecued,12,20,0,2,1,1.0,0,0,4.0,8.0
volter2014cognitive,3,18,dokana,22,f,orangutan,opaquecued,5,21,2,1,1,1.0,0,0,4.0,1.0
volter2014cognitive,3,2,dokana,22,f,orangutan,opaquecued,8,22,0,2,1,1.0,0,0,4.0,4.0
volter2014cognitive,3,4,dokana,22,f,orangutan,opaquecued,1,23,0,2,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,23,dokana,22,f,orangutan,opaquecued,3,24,2,2,0,1.0,1,0,4.0,-1.0
volter2014cognitive,3,16,dokana,22,f,orangutan,opaquecued,1,1,1,2,1,2.0,1,1,4.0,-3.0
volter2014cognitive,3,5,dokana,22,f,orangutan,opaquecued,1,2,0,2,1,2.0,1,1,4.0,-3.0
volter2014cognitive,3,21,dokana,22,f,orangutan,opaquecued,17,3,2,2,1,2.0,0,0,4.0,13.0
volter2014cognitive,3,12,dokana,22,f,orangutan,opaquecued,6,4,1,1,0,2.0,0,0,4.0,2.0
volter2014cognitive,3,17,dokana,22,f,orangutan,opaquecued,12,5,2,1,0,2.0,0,0,4.0,8.0
volter2014cognitive,3,11,dokana,22,f,orangutan,opaquecued,9,6,1,1,1,2.0,0,0,4.0,5.0
volter2014cognitive,3,20,dokana,22,f,orangutan,opaquecued,5,7,2,1,0,2.0,1,0,4.0,1.0
volter2014cognitive,3,7,dokana,22,f,orangutan,opaquecued,17,8,0,2,1,2.0,0,0,4.0,13.0
volter2014cognitive,3,22,dokana,22,f,orangutan,opaquecued,2,9,2,2,0,2.0,0,0,4.0,-2.0
volter2014cognitive,3,19,dokana,22,f,orangutan,opaquecued,1,10,2,1,1,2.0,1,1,4.0,-3.0
volter2014cognitive,3,15,dokana,22,f,orangutan,opaquecued,1,11,1,2,0,2.0,1,1,4.0,-3.0
volter2014cognitive,3,9,dokana,22,f,orangutan,opaquecued,3,12,1,1,0,2.0,0,0,4.0,-1.0
volter2014cognitive,3,10,dokana,22,f,orangutan,opaquecued,5,13,1,1,1,2.0,0,0,4.0,1.0
volter2014cognitive,3,24,dokana,22,f,orangutan,opaquecued,2,14,2,2,1,2.0,1,0,4.0,-2.0
volter2014cognitive,3,14,dokana,22,f,orangutan,opaquecued,2,15,1,2,0,2.0,0,0,4.0,-2.0
volter2014cognitive,3,18,dokana,22,f,orangutan,opaquecued,8,16,2,1,1,2.0,1,0,4.0,4.0
volter2014cognitive,3,2,dokana,22,f,orangutan,opaquecued,9,17,0,2,1,2.0,0,0,4.0,5.0
volter2014cognitive,3,13,dokana,22,f,orangutan,opaquecued,11,18,1,2,1,2.0,0,0,4.0,7.0
volter2014cognitive,3,3,dokana,22,f,orangutan,opaquecued,11,19,0,2,1,2.0,0,0,4.0,7.0
volter2014cognitive,3,6,dokana,22,f,orangutan,opaquecued,5,20,0,2,0,2.0,0,0,4.0,1.0
volter2014cognitive,3,23,dokana,22,f,orangutan,opaquecued,1,21,2,2,0,2.0,1,1,4.0,-3.0
volter2014cognitive,3,4,dokana,22,f,orangutan,opaquecued,2,22,0,2,0,2.0,0,0,4.0,-2.0
volter2014cognitive,3,1,dokana,22,f,orangutan,opaquecued,5,23,0,2,0,2.0,1,0,4.0,1.0
volter2014cognitive,3,8,dokana,22,f,orangutan,opaquecued,7,24,0,2,0,2.0,1,0,4.0,3.0
volter2014cognitive,3,13,dorien,30,f,chimpanzee,opaquecued,15,1,1,2,1,1.0,1,0,4.0,11.0
